onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n07614500_52555	1	929	0	0.000000
40	8	1	n04118776_2487	1	770	0	0.000000
48	8	1	n02119022_7848	1	278	0	0.000000
56	8	1	n03584254_1074	1	606	0	0.000000
64	8	1	n02777292_7917	1	417	0	0.000000
72	8	1	n02442845_1245	1	358	0	0.000000
80	8	1	n07697313_13660	1	934	0	0.000000
88	8	1	n07753275_721	1	954	0	0.000000
96	8	1	n02137549_16772	1	299	0	0.000000
104	8	1	n03781244_25354	1	664	0	0.000000
112	8	1	n03786901_36	1	667	0	0.000000
120	8	1	n02268443_5889	1	320	0	0.000000
128	8	1	n03445924_2756	1	576	0	0.000000
136	8	2	n03445924_2756	1	576	1	137.027820
144	8	1	n03000247_18895	1	491	0	0.000000
152	8	2	n03000247_18895	1	491	1	153.024381
160	8	1	n03498962_8689	1	597	0	0.000000
168	8	1	n02454379_1888	1	364	0	0.000000
176	8	1	n02099267_2767	1	206	0	0.000000
184	8	1	n03425413_29593	1	572	0	0.000000
192	8	1	n02093428_19825	1	181	0	0.000000
200	8	1	n01910747_548	1	108	0	0.000000
208	8	1	n02018207_13343	1	138	0	0.000000
216	8	1	n02088632_1682	1	165	0	0.000000
224	8	1	n01630670_1154	1	27	0	0.000000
232	8	1	n04550184_2333	1	895	0	0.000000
240	8	1	n02403003_10578	1	346	0	0.000000
248	8	2	n02403003_10578	1	346	1	249.033893
256	8	1	n03476684_1210	1	585	0	0.000000
264	8	1	n03933933_8005	1	719	0	0.000000
272	8	1	n04344873_10829	1	832	0	0.000000
280	8	1	n04049303_16577	1	757	0	0.000000
288	8	1	n03259280_11920	1	545	0	0.000000
296	8	1	n02091467_4957	1	175	0	0.000000
304	8	2	n02091467_4957	1	175	1	305.028634
312	8	1	n02206856_1591	1	310	0	0.000000
320	8	1	n02643566_5228	1	397	0	0.000000
328	8	1	n02793495_10298	1	426	0	0.000000
336	8	1	n04371430_1241	1	843	0	0.000000
344	8	1	n02490219_2164	1	378	0	0.000000
352	8	1	n02494079_1268	1	383	0	0.000000
360	8	1	n04229816_9019	1	797	0	0.000000
368	8	1	n04146614_10702	1	780	0	0.000000
376	8	1	n02091134_17059	1	173	0	0.000000
384	8	1	n03733131_8413	1	646	0	0.000000
392	8	1	n01796340_18400	1	82	0	0.000000
400	8	1	n03124043_2472	1	515	0	0.000000
408	8	1	n03450230_1167	1	579	0	0.000000
416	8	1	n02437616_819	1	356	0	0.000000
424	8	1	n01632777_2647	1	30	0	0.000000
432	8	1	n02120079_1207	1	280	0	0.000000
440	8	1	n09256479_723	1	974	0	0.000000
448	8	1	n04251144_6156	1	802	0	0.000000
456	8	1	n03393912_18690	1	566	0	0.000000
464	8	2	n03393912_18690	1	566	1	465.028416
472	6	-2	n/a	n/a	n/a	n/a	n/a
